,index,Company,TypeName,Inches,OpSys,Price,Resolution,Screen,Cpu Company,Cpu Core,Memory Size,Memory Type,Gpu Company,Weight Range,Ram Size,GHZ Size
0,16,Dell,Notebook,15.6,Windows 10,64971,1920x1080,Missing,Intel,i7,256GB,SSD,AMD,2-3 kg,8,2.7
1,28,Dell,Ultrabook,15.6,Windows 10,113198,1920x1080,Missing,Intel,i7,256GB,SSD,Intel,1-2 kg,8,1.9
2,33,Dell,Ultrabook,13.3,Windows 10,162995,3200x1800,Touchscreen /,Intel,i7,512GB,SSD,Intel,1-2 kg,16,1.8
3,41,Dell,Gaming,15.6,Windows 10,130727,1920x1080,IPS Panel,Intel,i7,256GB,Hybride,Nvidia,2-3 kg,16,2.8
4,55,Dell,Notebook,15.6,Windows 10,66959,1920x1080,Missing,Intel,i7,256GB,SSD,AMD,2-3 kg,8,1.8
5,60,Dell,Notebook,17.3,Windows 10,113285,1920x1080,Missing,Intel,i7,256GB,Hybride,AMD,2-3 kg,16,1.8
6,71,Dell,Ultrabook,13.3,Windows 10,83285,1920x1080,IPS Panel,Intel,i7,256GB,SSD,AMD,1-2 kg,8,1.8
7,72,Dell,Notebook,15.6,Windows 10,75872,1920x1080,Missing,Intel,i7,256GB,SSD,AMD,2-3 kg,8,1.8
8,77,Dell,Notebook,15.6,Windows 10,74564,1920x1080,Missing,Intel,i7,128GB,Hybride,Intel,2-3 kg,8,1.8
9,85,Dell,Gaming,15.6,Windows 10,117646,1920x1080,IPS Panel,Intel,i7,128GB,Hybride,Nvidia,2-3 kg,16,2.8
10,89,Dell,Ultrabook,13.3,Windows 10,143809,1920x1080,IPS Panel,Intel,i7,256GB,SSD,Intel,1-2 kg,8,1.8
11,96,Dell,Notebook,15.6,Linux,52317,1920x1080,Missing,Intel,i7,1TB,HDD,AMD,2-3 kg,8,2.7
12,111,Dell,Ultrabook,13.3,Windows 10,120262,3200x1800,Quad HD+,Intel,i7,256GB,SSD,Intel,1-2 kg,8,2.4
13,117,Dell,Notebook,15.6,Windows 10,98576,1920x1080,IPS Panel,Intel,i7,256GB,Hybride,Nvidia,2-3 kg,8,1.8
14,128,Dell,Notebook,17.3,Windows 10,121745,1920x1080,Missing,Intel,i7,256GB,Hybride,AMD,2-3 kg,16,1.8
15,150,Dell,Gaming,15.6,Windows 10,108947,1920x1080,Missing,Intel,i7,512GB,SSD,Nvidia,2-3 kg,16,2.8
16,151,Dell,Gaming,15.6,Windows 10,78401,1920x1080,Missing,Intel,i7,1.0TB,HDD,Nvidia,2-3 kg,8,2.8
17,158,Dell,2 in 1 Convertible,15.6,Windows 10,91483,1920x1080,Full HD,Intel,i7,256GB,SSD,Intel,1-2 kg,8,1.8
18,167,Dell,Gaming,15.6,Windows 10,92485,1920x1080,Missing,Intel,i7,128GB,Hybride,Nvidia,2-3 kg,8,2.8
19,180,Dell,Notebook,15.6,Linux,91483,1920x1080,Missing,Intel,i7,256GB,Hybride,AMD,2-3 kg,16,1.8
20,185,Dell,Notebook,17.3,Windows 10,135088,1920x1080,Full HD,Intel,i7,512GB,SSD,Nvidia,2-3 kg,16,1.8
21,186,Dell,Notebook,15.6,Windows 10,209042,3840x2160,4K Ultra,Intel,i7,512GB,SSD,Nvidia,2-3 kg,16,2.8
22,189,Dell,Notebook,17.3,Windows 10,94622,1920x1080,Missing,Intel,i7,128GB,Hybride,AMD,2-3 kg,8,1.8
23,194,Dell,2 in 1 Convertible,13.3,Windows 10,73169,1920x1080,IPS Panel,Intel,i7,1TB,HDD,Intel,1-2 kg,8,1.8
24,200,Dell,Gaming,15.6,Windows 10,160902,3840x2160,IPS Panel,Intel,i7,512GB,Hybride,Nvidia,2-3 kg,16,2.8
25,207,Dell,Ultrabook,13.3,Windows 10,169972,3840x2160,IPS Panel,Intel,i7,256GB,SSD,Intel,1-2 kg,8,1.8
26,208,Dell,Ultrabook,13.3,Windows 10,126367,1920x1080,Missing,Intel,i7,256GB,SSD,Intel,1-2 kg,8,1.8
27,215,Dell,Ultrabook,13.3,Windows 10,81269,1920x1080,IPS Panel,Intel,i7,256GB,SSD,AMD,1-2 kg,8,1.8
28,219,Dell,2 in 1 Convertible,13.3,Windows 10,111541,1920x1080,Full HD,Intel,i7,512GB,SSD,Intel,1-2 kg,16,1.8
29,224,Dell,Gaming,17.3,Windows 10,214217,1920x1080,IPS Panel,Intel,i7,256GB,Hybride,Nvidia,3-4 kg,16,2.8
30,226,Dell,Notebook,15.6,Windows 10,74914,1920x1080,Full HD,Intel,i7,1TB,HDD,AMD,2-3 kg,16,2.7
31,235,Dell,Notebook,15.6,Linux,78401,1920x1080,Missing,Intel,i7,256GB,SSD,AMD,2-3 kg,16,2.7
32,245,Dell,Notebook,15.6,Windows 10,85901,1920x1080,Missing,Intel,i7,128GB,Hybride,AMD,2-3 kg,8,1.8
33,250,Dell,2 in 1 Convertible,15.6,Windows 10,71424,1920x1080,IPS Panel,Intel,i7,1TB,HDD,Intel,2-3 kg,8,1.8
34,260,Dell,Notebook,17.3,Windows 10,99593,1920x1080,Missing,Intel,i7,128GB,Hybride,AMD,2-3 kg,8,1.8
35,272,Dell,Notebook,15.6,Linux,64105,1920x1080,Missing,Intel,i7,256GB,SSD,AMD,2-3 kg,8,1.8
36,275,Dell,Notebook,15.6,Windows 10,62186,1366x768,Missing,Intel,i7,1TB,HDD,Intel,2-3 kg,12,2.7
37,276,Dell,Notebook,17.3,Linux,95843,1920x1080,Missing,Intel,i7,128GB,Hybride,AMD,2-3 kg,8,1.8
38,293,Dell,Notebook,15.6,Windows 10,159507,1920x1080,Missing,Intel,i7,256GB,SSD,Nvidia,3-4 kg,8,2.8
39,297,Dell,Workstation,17.3,Windows 10,251588,1920x1080,Missing,Intel,i7,256GB,SSD,Nvidia,3-4 kg,16,2.9
